lemma,noun_roles_top,head_verbs_top,amod_top,compound_top,examples
post,obj:14 | compound:11 | conj:7 | obl:3 | nmod:3 | nsubj:1,write:4 | read:1 | come:1 | show:1 | use:1 | organize:1 | put:1 | do:1 | prepare:1 | involve:1 | have:1 | make:1,social:5 | many:1 | short:1 | particular:1 | lengthy:1 | original:1,blog:13 | media:10 | design:1 | video:1 | web:1,"Before I might have googled something and read blog posts or something . || Ultimately , this will serve to make outstanding screenwriters and original story - tellers more outstanding , provided that of course , it is humans reviewing the scripts , as the post - facto nature of any AI analysis of screenwriting would otherwise mean the importance of originality would likely be downplayed in an evaluative model , as it simply would n't have the sample cases to compare it against - think MOONLIGHT or EVERYTHING EVERYWHERE ALL AT ONCE ; both are Oscar winners , making significant sums of money across the world , but prior to MOONLIGHT there had never been a Black gay Oscar - winning film , likewise EVERYTHING EVERYWHERE 's fusion of martial - arts , sci-fi , familial relationships and 1 / 2nd generation immigrant culture is without peer . || I do many crafting projects , design social media posts , peruse AI for inspiration for crochet projects and patterns , come up with fun ideas to boost morale at my place of work , etc . || I also have used AI recently to come up with many social media posts and inspiration for the dental office I work at ."
material,obj:16 | nmod:9 | obl:8 | conj:3 | compound:2,generate:3 | use:2 | make:2 | provide:2 | do:1 | create:1 | digest:1 | pitch:1 | switch:1 | swap:1 | sort:1 | organize:1,other:3 | promotional:2 | creative:2 | face:1 | right:1 | underlying:1 | more:1 | exist:1 | funny:1 | good:1,marketing:4 | reference:3 | training:1 | background:1,"Typically , I produce a lot of promotional material for my clients , which includes some small projects like business cards or flyers , but also cohesive suites of materials ( think business cards + forms , flyers , banners , etc. ) . || If they do it in their public - facing materials , where else are they cutting corners ? || Because I do n't know how the model will use that material . || So I have a side job / hobby / hustle creating marketing materials for authors that they can use in promotions , like images or videos , all AI generated ."
hand,obl:17 | compound:7 | nmod:5 | obl:unmarked:4 | conj:3 | obj:1 | acl:relcl:1,draw:3 | paint:3 | have:3 | work:2 | create:2 | write:1 | edit:1 | design:1 | carve:1 | redrawn:1 | show:1 | do:1,other:3 | second:2 | human:2 | own:1 | float:1,,"Writing the rhythms and melodies by hand is the crucial human element . || While there is the counter - movement and support for artists who still work from hand , there are also people who simply want to be able to have an image . || The statement generated by AI could then be hand edited to sound more like my authentic voice as an artist . || So , I felt super guilty at first , because I want to make "" real "" art , using my own ideas , designs , creativity , my own hand drawing the artwork ."
line,obj:10 | obl:9 | compound:4 | root:3 | nmod:3 | nsubj:3 | conj:2 | appos:1 | advcl:1 | xcomp:1 | acl:relcl:1,create:4 | blur:1 | vary:1 | activate:1 | write:1 | think:1 | use:1 | be:1 | come:1 | read:1 | say:1 | go:1,fine:3 | first:2 | black:1 | catchy:1 | finish:1 | optimise:1 | certain:1 | very:1,plot:2 | ley:1 | core:1 | opening:1 | tag:1 | insert:1 | story:1 | production:1,"I will typically create a "" line "" , like a series , of tokens that follow the same aesthetical style and I have created in Gemini a variety of system prompts , like one for generating prompts of aesthetical styles , and one for generating images from those prompts that meets the typical standards and aesthetics of a token that I need . || My only concern is the risk of blurring the line between purely human - created content and content that 's been heavily influenced , edited , refined or even largely created by AI . || I find AI tools where I can generate non-realistic image based video ( cartoon , line drawing , etc. ) and off - screen narration most effective . || "" Typical "" varies quite a lot in my line of work ."
place,obl:14 | obj:11 | conj:4 | xcomp:3 | compound:2 | nsubj:2 | advcl:1 | root:1,take:7 | use:3 | get:2 | travel:2 | describe:2 | have:2 | put:2 | become:2 | boost:1 | evolve:1 | develop:1 | need:1,first:3 | right:2 | boring:1 | common:1 | next:1 | good:1 | certain:1,,"In the future , I would like to get to a place where I can quickly create a lesson plan / choreography on my own and only use AI to tweak it || They traveled places , tried new things , met new people ... and then they wrote about it . || I was struggling with how I could describe those events in detail as the protagonist could n't be at all these places around the country and I was wary of having an omniscient narrator . || I do n't believe that AI has a place in many creative spaces ."
hour,obj:13 | obl:9 | compound:6 | obl:unmarked:4 | nmod:4 | conj:1 | root:1,take:8 | spend:6 | finish:2 | get:2 | work:1 | watch:1 | run:1 | save:1 | agonise:1 | pour:1 | range:1,few:3 | multiple:1 | additional:1,working:1,"I spend hours upon hours manually drum editing each song . || I 'm exploring time - saving functions , such as using Opus Clip to grab shorts from a two - hour church service . || Commissions usually take a week or so per map , about 3 hours per day . || some scenes took multiple hours to refine ."
week,obl:unmarked:20 | obl:6 | nmod:3 | obj:3 | nmod:unmarked:2 | conj:1 | nsubj:1 | compound:1 | root:1,take:3 | have:2 | learn:1 | choreograph:1 | use:1 | plan:1 | make:1 | wait:1 | go:1 | do:1 | drop:1 | notice:1,few:4 | next:2 | previous:1 | past:1 | last:1 | other:1,hour:1,"The lesson plans need to be specific to those styles , the level of the students , and ( at times ) the theme of the week . || Something else that is very important is that the lesson plans should expand upon each other - skills learned in the previous week should be reviewed and increased in difficulty . || Additionally , I create a dance combination for each class and each week . || Lastly , over the next few weeks , I am choreographing a few pieces for the Christmas season ."
list,obj:21 | obl:11 | nmod:2 | nsubj:2 | compound:1 | conj:1,ask:6 | provide:5 | have:4 | get:3 | generate:3 | make:2 | give:2 | drop:1 | go:1 | reboot:1 | see:1 | deliver:1,long:1 | wide:1 | helpful:1 | do:1,paper:1 | character:1 | card:1 | art:1 | supply:1 | restock:1,"Sometimes , when it comes time to add lyrics , I 'll ask ChatGPT or Claude for lists of interesting word pairings . || Just getting a long list to try out over the instrumental often leads to finding a hook or at least a seed for a song idea . || Again , I 'll have an LLM drop a list of thematic words or pairings to get ideas flowing for song names . || We went through a few rounds of lists , but I ended up with 4 that I 'm happy with"
creation,obl:12 | nmod:8 | compound:6 | conj:5 | nsubj:3 | obj:2 | ccomp:1,use:2 | delve:1 | help:1 | deal:1 | make:1 | specialize:1 | have:1 | leverage:1 | get:1 | seem:1 | focus:1 | involve:1,visual:2 | human:1 | new:1 | more:1 | own:1 | direct:1 | actual:1 | desire:1 | first:1,content:6 | image:3 | video:2 | pack:1 | website:1 | art:1 | brainstorming:1 | idea:1 | audio:1 | music:1,"I only use AI tools in my asset pack creation , not commissions . || I 've even delved into website creation , script treatments , and more based on what clients need and what I can provide . || I also use AI to help in the creation of image prompts and for brainstorming more generally . || As it improves , I imagine I will consider off - loading more of the editing work , and incorporating more of its visual creations into my designs ."
direction,obj:14 | obl:13 | nmod:5 | conj:3 | nsubj:1 | acl:1,go:4 | take:2 | point:2 | decide:2 | steer:2 | give:2 | guide:1 | interpret:1 | face:1 | arrange:1 | launch:1 | bounce:1,different:5 | right:2 | multiple:2 | creative:1 | forward:1 | certain:1 | musical:1 | interesting:1 | possible:1 | good:1 | logical:1 | rough:1,art:2 | camera:1 | research:1,"This is ok for finding a vibe , but again , I think taking * creative * direction from it is a mistake , because it robs the human creativity element that makes art interesting . || Having an engine to keep up with algorithms , feature changes , and trends to point those details in the right direction is helpful . || I definitely feel like AI is guiding the direction , which is the part I feel uneasy about . || I just feel I have less control once I 've told the AI what I 'm looking for , then it 's a matter of whether or not the AI interprets the directions well or not ."
series,obj:14 | obl:8 | conj:6 | nmod:4 | root:2 | compound:2,write:4 | create:2 | do:2 | take:1 | paint:1 | expand:1 | have:1 | edit:1 | go:1 | use:1 | outline:1 | concentrate:1,late:1 | new:1 | first:1 | original:1 | animated:1 | release:1 | apocalyptic:1 | other:1,book:2 | fantasy:1 | TV:1 | web:1 | novel:1 | spin:1,"I will typically create a "" line "" , like a series , of tokens that follow the same aesthetical style and I have created in Gemini a variety of system prompts , like one for generating prompts of aesthetical styles , and one for generating images from those prompts that meets the typical standards and aesthetics of a token that I need . || Take for example my latest series , "" The Rising Sun "" - AI assisted in the ability to quickly create prototypes of each [ REDACTED ] the speed from which I have a 2D image that I can then take through the workflow to make 3D . || For example , if I am creating a series of artwork that features landscapes , I might ask the AI to help me conceptualize the various types of landscapes that exist ( e.g. , deserts , plains , coastal , etc. ) and create descriptions / prompts related to those ideas . || I 'm a writer , primarily of science fiction and fantasy , so a project for me would be a book or a series of books , which can take months or years from start to finish ."
copy,obj:13 | obl:7 | compound:6 | conj:4 | nmod:3 | root:1 | nsubj:1,write:4 | have:1 | run:1 | create:1 | utilize:1 | involve:1 | rely:1 | refine:1 | ask:1 | identify:1 | struggle:1 | edit:1,creative:1 | main:1 | professional:1 | freelance:1,writing:5 | marketing:3 | website:3 | ad:1 | sale:1 | page:1,"For example , recently I asked if a client had a copy of his business logo , preferably on a business card , so I could take it and make it "" camera ready . "" || I was able to use AI to composite some "" good "" grandparents together , then in Photoshop I pasted everyone in , moved some people around in front of T - shirt guy ( he was tall ) , toned down said shirt , then ran a copy of it through an AI tool to smooth some things out , then checked everything back over in PS to ensure it looked realistic , no floating hands , etc . || I think it would be copy writing . || I generally write copy for websites and blogs , but I have also written a couple of articles for magazines ."
case,obl:30 | obj:2 | obl:unmarked:1 | case:1 | nsubj:1,use:4 | have:2 | reach:2 | see:1 | look:1 | commission:1 | suggest:1 | drive:1 | take:1 | direct:1 | figure:1 | cost:1,particular:1 | specific:1 | most:1 | true:1 | good:1 | other:1,use:4 | sample:1,"I 'd hope if this the case , it also would have well rounded hashtag generation , and could come up with hashtags based on the apps being used , and what is generating views at the time . || In my case , I have used AI for my graphic design work sparingly , occasionally to make mockups of things that I want to produce with greater skill or specific sizing / layouts , but generally as a timesaver for rote tasks . || In that case , I am . || But i see this as a case where it is used for good ."
term,obl:23 | nmod:3 | obj:3 | nsubj:3 | compound:2 | root:1,be:2 | have:2 | see:2 | think:2 | come:2 | evolve:1 | understand:1 | provide:1 | progress:1 | interview:1 | want:1 | tend:1,long:2 | musical:1 | key:1 | funny:1 | right:1 | certain:1 | own:1,Gen:2 | Z:2 | action:1 | library:1,"Still , in terms of the authenticity of character portrayals or its ability to create a scene , there are times I 'd find myself pleasantly surprised by how it took the loose fundamentals of a world I gave it and ran with it . || Honestly , overall , it 's both humbling and interesting to see how much AI has evolved in terms of capabilities . || I see it so often now - even writing contests have clauses in their terms to strictly forbid the use of AI . || I would say I have almost exclusively been directing it , and found that to be the number one pain point in terms of my direction being lost from say prompt to image generation or image editing ."
blog,compound:16 | obl:5 | conj:5 | obj:4 | nmod:2 | nsubj:2,start:2 | write:2 | outline:1 | work:1 | create:1 | use:1 | need:1 | struggle:1 | take:1,customize:1 | complete:1 | short:1 | online:1,research:1 | style:1 | portfolio:1 | makeup:1 | form:1,"I create content for my blog ( writing in Wordpress ) , my YouTube channel ( filming in OBS and editing in Adobe Premiere ) , and also for my church as Creative Director ( lots of graphics in Canva ) . || For the blog , I 'm outlining the content , writing it up , and integrating images and video . || Before I might have googled something and read blog posts or something . || I generally write copy for websites and blogs , but I have also written a couple of articles for magazines ."
designer,conj:9 | nsubj:7 | obj:7 | root:6 | obl:3 | compound:1 | obl:agent:1,know:3 | pay:2 | use:1 | send:1 | boot:1 | move:1 | replace:1 | be:1 | do:1 | cause:1 | hire:1 | screw:1,graphic:9 | human:3 | base:1 | Graphic:1 | skilled:1 | professional:1 | freelance:1 | hire:1,interior:3 | game:2 | circuit:2 | costume:1 | set:1 | VFX:1 | board:1 | sound:1 | designer:1 | AI:1,"This involves being across the entire filming process from start to finish , including hiring other creatives like camera people , costume designers , set designers , writers and editors . || I imagine that if a human VFX designer could use AI tools to automate some parts of the process , it could save a lot of time and money in what is currently an expensive and time consuming process , allowing us to create more realistic looking and exciting visual effects quicker and for less money . || Perhaps they ca n't afford to pay a graphic designer so they just turn to AI . || I am a contract - based graphic designer who specializes in preparing projects to print ."
couple,obj:9 | obl:unmarked:8 | nmod:unmarked:6 | nmod:3 | compound:3 | obl:3 | conj:2,get:3 | write:2 | take:2 | use:2 | have:2 | run:1 | rewrite:1 | bring:1 | give:1 | be:1 | frequent:1 | work:1,past:3 | Canadian:1,,"I also run a Dungeons & Dragons homebrew campaign every couple of weeks , which involves a lot of worldbuilding and keeping track of characters and plot events my party has encountered . || It got a couple of details not quite right , but they were details I might not have thought to include at all otherwise . || It is amazing the ways AI already makes tasks that were so difficult just a couple of years of ago ( coding , image editing , video production , ideation ) so easy now . || I have written and published a couple of nonfiction books about fibromyalgia on Amazon , and done editing and assisted with publishing on about 5 other books written by other authors ."
background,compound:11 | obj:9 | obl:8 | nmod:3 | conj:2 | nsubj:1,give:2 | have:2 | remove:2 | knock:1 | kill:1 | match:1 | add:1 | change:1 | swapp:1 | develop:1 | extend:1 | come:1,low:1 | create:1 | gray:1 | transparent:1 | academic:1 | specific:1 | different:1 | non-coding:1,income:1 | coding:1 | image:1,"I think it will also create a higher barrier for entry for people who want to learn those trades since they 'd have to develop their skills to the point that they can outcompete an AI before they can even get their first job , which may not be feasible for people from lower income backgrounds . || I think this would be especially useful for modern digital production techniques like rendering vast , detailed background environments for use on LED volume stages . || Tools like Cuebric are already being adopted for aligning real world performances with digitally created backgrounds , adding realism . || I will say , that AI is great for this but there are times that it does n't quite generate exactly what I ask for , sometimes it will do its own thing and generate something similar like if I ask for two corgis in the night sky jumping over floating bananas it might give me three corgis or two corgis in the background or maybe it will give me a weird looking night sky , which can make the process longer ."
control,obj:8 | nmod:7 | obl:7 | advcl:3 | conj:3 | ccomp:2 | compound:2 | root:1 | acl:1,feel:6 | have:3 | keep:2 | retain:2 | take:1 | see:1 | stay:1 | decide:1 | ensure:1 | maintain:1 | say:1 | write:1,creative:3 | much:2 | less:1 | total:1 | authorial:1 | artistic:1 | full:1,,"I like to keep control of that , for sure . || I think it would be the same for more truly creative tasks like graphic design as well , but it 's harder to get the necessary level of control over AI produced images than it is for text . || I just feel I have less control once I 've told the AI what I 'm looking for , then it 's a matter of whether or not the AI interprets the directions well or not . || It has allowed me to exist as a creator , making prototypes to prove the concept from which we can then allow for an actual artist to take creative control from there to create a product that has IP and legal protection ."
mind,obl:23 | obj:4 | nmod:4 | nsubj:2,come:5 | have:5 | keep:3 | get:2 | cross:2 | originate:2 | conjure:1 | slingshot:1 | continue:1 | form:1 | read:1 | spring:1,own:2 | human:1,sound:1,"That 's all that comes to mind for now . || So , it 's okay , in my mind . || I generally have the main idea already in mind , but I use AI to expand on a topic , or help brainstorm related ideas . || A recent project that comes to mind was dealing with the creation of a logo for a client ."
llm,nsubj:15 | obj:11 | obl:3 | iobj:1 | compound:1 | conj:1 | nmod:1,have:4 | use:4 | ask:2 | try:2 | break:1 | happen:1 | make:1 | put:1 | reach:1 | deliver:1 | be:1 | talk:1,different:1 | other:1,,"Again , I 'll have an LLM drop a list of thematic words or pairings to get ideas flowing for song names . || By being able to just spit out what is racing through my head and have a LLM generate the perfect captions , even adhering to shifting things slightly for different forms on content is incredible . || It often takes a deal of work to break an LLM out of its sycophantic rhythms — which is integral when trying to set up genuine conflict in storylines . || It 's far too easy for people to accuse someone of using AI in their writing over seemingly arbitrary metrics that the LLM just so happens to propagate ."
response,obj:14 | nsubj:8 | obl:4 | nmod:3 | conj:2 | appos:1 | compound:1,use:2 | prompt:1 | seed:1 | get:1 | hear:1 | provide:1 | reason:1 | challenge:1 | edit:1 | capitalize:1 | check:1 | improve:1,slow:1 | emotional:1 | ideal:1 | more:1 | accurate:1 | previous:1 | clear:1 | whole:1,AI:2 | burn:1 | email:1 | text:1 | weather:1,"Even now you see it , a simple google search prompts an AI response and its often wrong . || Often , I try to seed potential points forwards in my responses , things that could be investigated , dialogue that could be continued , and while it excels at the dialogue and has , over time , gotten better at picking up on context clues or symbolism , it still struggles to give the impression of "" agency "" when left to its own devices . || But it wo n't have the deeper nuances that only a human can weave throughout the story - the slow burn emotional response a reader might feel from reading a book by an accomplished author . || I use AI responses the same way I use any other piece of nonfiction or even fiction that I read ."
experience,obj:7 | conj:7 | nmod:5 | obl:4 | nsubj:4 | nsubj:pass:1 | root:1 | nsubj:outer:1 | ccomp:1 | compound:1,have:5 | find:2 | bear:1 | limit:1 | make:1 | cause:1 | think:1 | help:1 | create:1 | fit:1,human:4 | live:1 | other:1 | limit:1 | many:1 | much:1 | universal:1 | new:1 | good:1 | most:1,client:3 | cinematography:1 | media:1 | work:1,"I felt positive about the experience , as using AI helped me achieve a consistent tone and saved a lot of time from having to research things and write from scratch || It also does n't have lived human experience to draw on to create meaningful , emotionally impactful stories . || I find in my experience AI does n't pick up on the trends fast enough to make meaningful video ideas . || In my experience , I do n't find that chatbot going out of its way to provide that type of insight ."
production,compound:15 | conj:6 | obl:4 | obj:3 | nmod:2 | root:1 | nsubj:1,supplant:1 | programming:1 | have:1 | work:1 | do:1 | make:1,full:1 | physical:1 | live:1 | indie:1,video:4 | post:3 | film:1 | TV:1 | music:1 | Music:1 | youth:1 | theatre:1 | budget:1,"Well certainly for composers making "" production "" music it 's a big problem . || Many of my projects have been full productions - so , seeing the record through from demo to recording to mixing . || Well the music production space ( even pre -AI ) has become flooded with a lot of snake oil software products . || I work in production management for high end TV and film ."
show,nmod:10 | obj:6 | obl:6 | nsubj:3 | conj:3 | compound:2 | acl:relcl:1 | nsubj:pass:1,run:1 | get:1 | work:1 | make:1 | hit:1 | become:1 | exist:1 | settle:1 | create:1 | border:1 | want:1 | watch:1,separate:1 | exist:1 | live:1,TV:5 | fire:1,"I pretty much run the show , I come up with content ideas , film , edit , generate captions / hashtags , post and even respond to comments . || The person he 's interviewing can be relating what he 's seen in vivid detail to the protagonist - so I still get the "" show do n't tell "" without the protagonist being there himself . || If I 'm doing original writing , I will come up with an idea for a story , determine whether it 's best suited to TV or film , then start to ideate on story , characters etc , until I have a sense of the overall plot of the feature or pilot / first season of the TV show . || In terms of writing for hire , I will be interviewed by show - runners , filmmakers etc. based on the strength of my previous work and then be invited to make suggestions or pitch my take on underlying material or ideas ."
outline,obj:13 | obl:7 | nmod:5 | conj:2 | nsubj:2 | compound:1 | root:1 | advcl:1,create:2 | send:1 | give:1 | complete:1 | organise:1 | make:1 | generate:1 | come:1 | devise:1 | provide:1 | tell:1 | expand:1,detailed:2 | quick:1 | rough:1 | few:1 | different:1 | potential:1 | creative:1 | finish:1 | general:1 | full:1 | update:1 | obvious:1,page:1 | storyboard:1 | story:1 | chapter:1,"I use it for everything from brainstorming topic ideas and page outlines through to feeding it prompts to generate content . || So , the authors usually send me a ' storyboard ' or general outline for what they want in the trailor , but I often use AI models to help me figure out more about the book if I have not read it , so for example I use ChatGPT or similar to break down the blub or a summary of the book , and use that to help me get the gist of the book . || The author gave me a story outline for the trailor , 5 - 6 scenes or ' moments ' he wanted short videos or images for - such as a scene walking through a favela , or standing on a hill above the city . || Typically , I 'll take the client 's brief and generate one or both of a detailed outline for the project and / or ask for well - researched citations into interesting facts and statistics about the topic ."
stuff,obj:9 | obl:8 | nmod:6 | root:3 | conj:3 | nsubj:2 | appos:1,help:2 | do:2 | use:2 | be:1 | give:1 | tell:1 | take:1 | make:1 | catch:1 | find:1 | see:1 | think:1,boring:2 | other:1 | little:1 | fun:1 | general:1 | good:1 | practical:1 | administrative:1 | hard:1 | similar:1,admin:2 | form:1 | character:1 | type:1 | filler:1 | thinking:1 | planning:1 | organizing:1,"Sure , follow up questions are usually included but they 're very simple , "" how 's this look ? "" type of stuff . || Now , I somewhat trust AI to know that kind of stuff for me and let me know through the refinement process . || Yeah , there is other stuff I 'd like to add . || I most look forward to AI getting better at helping me with the admin stuff I mentioned earlier , though ."
sound,compound:21 | obj:4 | obl:2 | appos:1 | parataxis:1 | nsubj:1 | conj:1 | nmod:1,make:1 | test:1 | accept:1 | detect:1 | experiment:1 | hone:1 | give:1,cheesy:1 | bad:1 | high:1 | intend:1,quality:1,"Depending on the project I and scope I do everything from sound design to recording but my main skill is composing . || Sometimes it 's way off in the first one ( often too cheesy or mystical sounds eg. "" Haunted Echoes "" ) . || I was able to use AI for this project to craft paragraphs I could then lightly rewrite to make sound more human . || Of course , I imagine that an AI assistant , especially the modern ones , can be a better sounding board now , since many can parse images ."
sort,obl:9 | nmod:6 | obj:5 | advmod:5 | nsubj:2 | advcl:1 | root:1 | xcomp:1 | conj:1,use:4 | have:2 | sell:1 | think:1 | check:1 | deliver:1 | provide:1 | become:1 | come:1 | research:1 | co-writ:1 | hit:1,dark:1,hybrid:1,"Everyone and their mother has a plugin company selling some sort of "" fix all "" solution to "" make your beats slap . "" || Again , I 'd rather it be used for technical tasks or brainstorming than for actually being any sort of creative driving force || In a way , I tend to think of the story as a sort of AU ( Alternate - Universe ) interpretation of my main projects , and that lets me explore potential scenarios , plotlines , and character arcs from different angles . || Sometimes I have a very specific vibe of a character , yet because of my aphantasia , it can be hard for me to truly visualize them without an example of sorts ."
event,obl:8 | obj:6 | compound:5 | conj:5 | nsubj:3 | nmod:2 | root:1 | nsubj:pass:1,create:2 | link:2 | happen:1 | describe:1 | follow:1 | form:1 | come:1 | think:1 | take:1 | identify:1 | write:1 | design:1,specific:2 | historical:1 | entire:1 | new:1 | local:1 | upcoming:1 | apocalyptic:1 | real:1 | certain:1,plot:1 | school:1 | series:1 | world:1 | holiday:1,"We 've also tried using it for things like generating graphics for internal comms like event invitations , but it did n't work too well for that - I have n't found an AI model that 's capable of producing a document with both coherent text and strong images together yet . || I was writing in first - person POV but events were happening around the country ( riots , looting , society breaking down ) . || I was struggling with how I could describe those events in detail as the protagonist could n't be at all these places around the country and I was wary of having an omniscient narrator . || I also run a Dungeons & Dragons homebrew campaign every couple of weeks , which involves a lot of worldbuilding and keeping track of characters and plot events my party has encountered ."
marketing,compound:17 | conj:5 | nmod:3 | obj:3 | obl:2 | root:1,work:1 | enhance:1 | create:1 | brainstorm:1,social:3,media:3 | end:1,"So I have a side job / hobby / hustle creating marketing materials for authors that they can use in promotions , like images or videos , all AI generated . || I recently started a marketing role in a startup in afterhours and have been exploring video and image generating through different platforms || Also AI provides a lot of generic content in terms of writing marketing briefs and people that are not professionals would not know how to tell which one is which . || The temptation to use AI to generate ideas is becoming more and more popular - highly successful individuals in the social media marketing scene often suggest using it for posts , content creation , automation , etc ."
life,obl:12 | obj:7 | nmod:4 | compound:3 | conj:2 | nsubj:2 | nmod:poss:1,bring:3 | make:2 | have:2 | see:1 | know:1 | exist:1 | base:1 | take:1 | want:1 | rebuild:1 | experience:1 | replicate:1,real:3 | entire:1 | inner:1 | quiet:1 | daily:1,art:1,"I 've never seen so much emdash slander in my life . || My work varies project to project , but usually it involves a client giving me a script or a rough idea and it 's my job to bring it to life through illustration and design . || The creative decisions are ultimately mine , but AI helps bring them to life . || When I think of AI at its best , it is a tool that helps facilitate broader ideas and eases the burden of life 's mundane tasks ."
song,obj:12 | nmod:6 | compound:5 | obl:4 | conj:2 | nsubj:1,write:4 | edit:1 | pitch:1 | receive:1 | produce:1 | regenerate:1 | get:1 | create:1 | make:1 | hear:1 | go:1 | combine:1,few:1 | popular:1 | different:1 | complete:1 | original:1 | finish:1 | solid:1,writing:1 | pop:1 | rock:1,"Just getting a long list to try out over the instrumental often leads to finding a hook or at least a seed for a song idea . || Another one is song names . || Again , I 'll have an LLM drop a list of thematic words or pairings to get ideas flowing for song names . || So I told ChatGPT about the themes of the tracks , and a sonic description of each song ."
role,obj:14 | conj:4 | obl:3 | nmod:3 | compound:3 | nsubj:2 | nsubj:outer:1,see:3 | play:3 | assume:2 | seek:2 | continue:1 | start:1 | try:1 | change:1 | craft:1 | integrate:1 | perform:1 | prompt:1,particular:2 | primary:1 | prompt:1 | limited:1,writing:2 | marketing:1 | copywriter:1 | assistant:1 | entry:1,"I can see AI 's role continuing to grow larger as it continues to improve , saving further time and allowing for more work to be done than ever before . || It can be very taxing , especially because I also am an instructor / manager of one location and that is my primary role . || I do tend to collaboratively write with AI , asking it to assume the role of a dungeon - master or character ( s ) while feeding it quite a bit of lore . || So for this in particular I was asking the AI to assume the role of various characters , each with their own unique goals , each one of them a moving part in this little microcosm ."
email,obj:10 | conj:8 | compound:4 | obl:3 | nmod:3 | root:1 | nsubj:1,respond:3 | write:3 | make:1 | send:1 | draft:1 | compose:1 | generate:1 | past:1 | give:1 | have:1,cold:1 | previous:1 | professional:1,client:1 | draft:1,"I use AI tools for brainstorming , asking quick questions about technique and theory , general admin , copywriting , emails / comms , and also business planning . || AI has been most useful in handling my admin tasks , like keeping track of client info , responding to emails etc . || Sometimes I use it to help me write emails if I am feeling overwhelmed or nervous about certain customers . || AI is useful for when I 'm trying to craft pitches to prospective clients , respond to client emails , or when I want to know what a contract or TOS says ."
audio,compound:14 | obj:5 | conj:4 | obl:4 | nmod:2,mix:2 | involve:1 | analyze:1 | split:1 | sculpt:1 | organize:1 | have:1,digital:1 | record:1,game:1 | editing:1,"I 'm a music producer and audio engineer . || htDemucs has gotten really good for audio stem separation , and I 've heard that Ableton will be implementing stem separation in a new update . || I 'm a musician , I compose music and mix the audio . || Companies wo n't hire people for things like game audio or scoring a tv ad if a cheap ai service can do it at a good enough level ."
step,obl:11 | obj:5 | nmod:4 | nsubj:outer:4 | nsubj:2 | root:1 | compound:1 | obl:unmarked:1,use:5 | go:3 | include:2 | continue:1 | get:1 | represent:1 | follow:1 | be:1 | record:1 | have:1 | dive:1 | proceed:1,next:5 | creative:2 | practice:1 | tedious:1 | actual:1 | common:1 | procedural:1 | most:1 | more:1 | huge:1 | several:1 | final:1,revision:1 | brainstorming:1 | workflow:1,"I use AI tools every week to help me build out the basic structure of my classes , including , but not limited to , barre warmups , stretching sessions , across the floor and center exercises , music choices , and integration of practiced steps into choreography . || That is to say , since I tend to world build in tandem with my writing ( and adjust for any potential additions ) using AI to generate "" moodboard "" pieces , or basic diagrams , can help me continue to the next step of my writing while having a simple foundation to draw upon . || But I 'm not so much a fan of the tedious steps of building a physical prototype in board game design or proofreading in creative writing . || AI helps me get through steps like that without feeling overwhelmed and helpless so I can spend more time on the actual creative parts of the processes ."
collaboration,nsubj:8 | obj:7 | obl:3 | nmod:2 | root:2 | ccomp:1 | compound:1 | nsubj:outer:1 | advcl:1 | conj:1 | xcomp:1 | nsubj:pass:1,describe:3 | drive:2 | consider:1 | come:1 | work:1 | provide:1 | view:1 | suggest:1 | feel:1 | have:1 | call:1 | force:1,non-visual:1 | excellent:1 | common:1,,"During these storytelling sessions , I would say that there 's only the illusion of collaboration for the most part . || So the collaboration would be about 60/40 ( 60 % AI , 40 % my ideas ) . || So I would say that I am driving the collaboration and creative decision making , but that seems reasonable given the current working relationship . || I do n't think I would really describe it as a collaboration , more a more advanced search / indexing , whereas I would consider collaboration to allow some level of independence of thought from the collaborator ."
ability,obl:7 | nsubj:6 | obj:5 | conj:4 | root:2 | nmod:2 | parataxis:1 | obl:agent:1 | compound:1,have:2 | assist:1 | make:1 | create:1 | be:1 | outplay:1 | use:1 | deepen:1 | come:1 | love:1 | go:1 | perform:1,human:1 | different:1 | limitless:1 | own:1 | distinct:1,AI:1 | research:1,"Still , in terms of the authenticity of character portrayals or its ability to create a scene , there are times I 'd find myself pleasantly surprised by how it took the loose fundamentals of a world I gave it and ran with it . || The main use for AI I have gleamed from my process is the ability to rapidly create 2D renderings / ideas for token genres . || Take for example my latest series , "" The Rising Sun "" - AI assisted in the ability to quickly create prototypes of each [ REDACTED ] the speed from which I have a 2D image that I can then take through the workflow to make 3D . || The concern I would have is that the ability to automate the artistic process , like a 2D drawing , makes it so easy that it could broadly disincentivizes other artists from entering the field growing up ."
