lemma,subjects_top,objects_top,xcomp_top,ccomp_top,obl_top,examples
draw,I:7,asset:2 | artwork:2 | image:2 | attention:2 | kit:2 | mountain:1 | that:1 | thing:1 | everything:1 | something:1 | product:1,,,from:2 | upon:1 | procreate:1 | guide:1 | it:1 | computer:1 | myself:1 | page:1 | banner:1 | fact:1 | outline:1 | design:1,"It also does n't have lived human experience to draw on to create meaningful , emotionally impactful stories . || That is to say , since I tend to world build in tandem with my writing ( and adjust for any potential additions ) using AI to generate "" moodboard "" pieces , or basic diagrams , can help me continue to the next step of my writing while having a simple foundation to draw upon . || I paint and draw and make some installation art , including site - specific temporary installations . || I 'll then draw the assets on Procreate , export them to my PC , organize and name the files , create product listing images and promos for them , then upload them to the appropriate markets ."
replace,AI:7 | it:2 | Ai:1 | that:1 | nothing:1 | artist:1 | thing:1 | journalist:1,artist:3 | I:3 | person:2 | actor:2 | manager:1 | creativity:1 | human:1 | it:1 | object:1 | item:1 | room:1 | insight:1,,,medium:1 | task:1 | model:1 | field:1 | something:1 | with:1 | which:1 | writer:1 | favor:1,"I find AI can easily replace social media managers one day , which is essentially my job and honestly my dream is to pursue it head on one day . || But I wo n't let it replace my own creativity - that would be very unsatisfying . || I can understand why some feel that it 's perhaps a "" threat "" to artistic endeavours and that it will replace artists in creative mediums . || I do n't think AI will be able to fully replace humans for creative tasks , but this fact really does n't matter either way ."
build,I:7 | that:2 | world:1 | we:1 | cloud:1,they:2 | structure:1 | body:1 | prototype:1 | picture:1 | that:1 | story:1 | prop:1 | description:1 | house:1 | thing:1 | website:1,low:1 | feel:1,,of:2 | tandem:1 | off:1 | what:1 | area:1 | 1940s:1 | Blender:1 | Photoshop:1 | sand:1 | sky:1 | they:1 | scratch:1,"I use AI tools every week to help me build out the basic structure of my classes , including , but not limited to , barre warmups , stretching sessions , across the floor and center exercises , music choices , and integration of practiced steps into choreography . || That is to say , since I tend to world build in tandem with my writing ( and adjust for any potential additions ) using AI to generate "" moodboard "" pieces , or basic diagrams , can help me continue to the next step of my writing while having a simple foundation to draw upon . || I 've always found it easy to come up with an initial idea , but moving beyond that and building an actual body of work has been challenging . || But I 'm not so much a fan of the tedious steps of building a physical prototype in board game design or proofreading in creative writing ."
tend,I:19 | it:4 | they:2 | draw:1 | that:1 | report:1 | person:1 | model:1 | style:1,more:1,write:4 | take:2 | go:2 | use:2 | build:1 | think:1 | hyperfixate:1 | get:1 | read:1 | paste:1 | prefer:1 | struggle:1,,way:1 | word:1 | term:1 | cartoon:1,"While I 'm artistically inclined myself , drawing tends to take much longer for me than writing I find that for the early planning stages , AI can help to polish my very rough drafts to a workable state without having me break my flow . || That is to say , since I tend to world build in tandem with my writing ( and adjust for any potential additions ) using AI to generate "" moodboard "" pieces , or basic diagrams , can help me continue to the next step of my writing while having a simple foundation to draw upon . || I do tend to collaboratively write with AI , asking it to assume the role of a dungeon - master or character ( s ) while feeding it quite a bit of lore . || In a way , I tend to think of the story as a sort of AU ( Alternate - Universe ) interpretation of my main projects , and that lets me explore potential scenarios , plotlines , and character arcs from different angles ."
exist,that:7 | job:2 | scene:2 | woman:1 | intent:1 | idea:1 | you:1 | who:1 | concept:1,,avoid:1 | separate:1,,world:2 | norm:1 | creator:1 | man:1 | life:1 | show:1 | website:1,"My main concern is that one day my job might not exist if AI continues to improve and no longer needs human oversight , as it currently does . || Personally I 'm not sure an AI will ever be able to capture the same unique creative perspective that a human could have because it necessarily has to rely on data that already exists , which makes me think it would struggle to come up with something new . || Rarely have I found the AI particularly to be "" creative "" if you will , specifically as I am not sure I could say that the system prompt 's I have written allow it to exist outside of typical artistic norms . || It has allowed me to exist as a creator , making prototypes to prove the concept from which we can then allow for an actual artist to take creative control from there to create a product that has IP and legal protection ."
expand,it:3 | plan:1 | I:1 | AI:1 | that:1,reach:3 | idea:2 | it:2 | skill:1 | scope:1 | that:1 | series:1 | clip:1 | this:1 | how:1,create:1,,aspect:2 | that:2 | it:2 | idea:2 | each:1 | portion:1 | topic:1 | on:1 | point:1 | how:1 | theme:1 | instance:1,"Something else that is very important is that the lesson plans should expand upon each other - skills learned in the previous week should be reviewed and increased in difficulty . || Furthermore , expanding my skills will help me to maximize AI 's capabilities when I do use them through better prompt writing and such . || I could easily see it expanding into the photo editing aspect of the my workflow , and frankly would appreciate if it was better at that as the typical photoshop tasks I have are color editing jobs that frankly can take a pain staking amount of time to individually color in sections that I feel like AI could be well suited for . || Do I think it could expand into the other portions of my workflow beyond that ?"
depend,it:8 | that:1 | everything:1 | project:1 | detail:1 | length:1,more:1,,long:1,project:2 | model:1 | extent:1 | level:1 | we:1 | copywriting:1 | client:1 | it:1 | type:1 | case:1 | how:1,"Depending on the project I and scope I do everything from sound design to recording but my main skill is composing . || Well I 'm a Graphic Designer , there are multiple different projects depending on the day . || It really depends on the model I am using . || I 'm not really sure yet - to some extent it might depend on how AI itself evolves ."
turn,I:7 | it:2 | they:1 | who:1 | shoe:1 | project:1 | client:1 | amount:1 | person:1 | that:1 | research:1 | publisher:1,knob:2 | it:2 | idea:1 | picture:1 | scene:1 | conversation:1 | we:1 | mess:1,old:1 | get:1,read:1,AI:5 | something:2 | model:2 | prompt:1 | piece:1 | variation:1 | image:1 | technique:1 | video:1 | approach:1 | inspiration:1 | direction:1,"Perhaps they ca n't afford to pay a graphic designer so they just turn to AI . || I 'm not generating artwork in 2 seconds just to turn around and sell that same image on Etsy for $ 3 as if I 'm the artist . || Then I can use this to turn into prompts for Sora to get the images . || Because there are no good plugins for the "" turn this idea into an actual piece of music "" part of the process , not a whole lot has changed ."
end,I:15 | this:2 | story:1 | one:1 | person:1 | lot:1 | player:1 | we:1 | AI:1 | career:1 | industry:1,,use:4 | create:1 | find:1 | incorporate:1 | get:1 | overutilize:1 | clutter:1 | outline:1 | come:1 | breez:1 | produce:1 | work:1,,result:2 | batch:2 | 4:1 | product:1 | thing:1 | lot:1 | potential:1 | rambling:1 | end:1 | script:1 | idea:1 | kit:1,"We went through a few rounds of lists , but I ended up with 4 that I 'm happy with || Likewise , as a result , I sometimes end up creating supplementary graphics , concept art , etc , while worldbuilding . || Using the suggest feature in the sketch menu , I did end up finding something I liked after using it for a few minutes . || I save time and end up with better , more unique products for my clients ."
decide,I:12 | decision:1 | one:1 | player:1,good:1 | what:1 | direction:1 | control:1,paint:1 | use:1 | write:1 | pause:1 | fixate:1,want:3 | place:1 | like:1 | go:1 | good:1 | need:1,on:3 | category:1 | approach:1 | slogan:1 | end:1 | work:1 | fly:1 | direction:1 | structure:1 | theme:1 | palette:1,"Then it 's up to me to decide if I want to keep them , or if I want to change them in some way to fit my purposes . || The only "" decisions "" it makes is deciding how best to make those shadows or shapes or proportions realistic . || I also find it easier to decide where to place shadows and shading on my own without using the generated images as guides . || I like my work and I want to decide what to keep and where to go next ."
describe,I:15 | you:2 | they:1 | AI:1 | that:1,it:7 | collaboration:2 | painting:1 | event:1 | account:1 | institution:1 | cycle:1 | each:1 | place:1 | style:1 | character:1 | service:1,set:1,connect:1,model:2 | bot:1 | detail:1 | collaboration:1 | bank:1 | writer:1 | process:1 | co-pilot:1 | picture:1 | utilitarian:1 | more:1,"I described my painting to an AI bot and asked it to generate a relevant artist statement that I could use . || Personally , I feel like it has the potential to be exactly the way you described it , a valuable support system for when I 'm mentally fatigued or facing difficult challenges with technical aspects of the work I do . || I was struggling with how I could describe those events in detail as the protagonist could n't be at all these places around the country and I was wary of having an omniscient narrator . || It suggested various ways of describing second - hand accounts , e.g. news , social media , eye witness accounts , rumours , footage , etc ."
worry,I:22 | AI:1 | which:1 | it:1,I:3 | deal:1,,lose:3 | devalue:1 | leave:1 | replace:1 | make:1 | take:1 | end:1 | remove:1 | be:1 | start:1 | good:1,impact:1 | fact:1 | artist:1 | way:1 | all:1 | someone:1 | that:1 | software:1 | security:1 | weakness:1,"As much as I praise AI , I do worry about the overall impact it will have . || I do worry that the prevalence of AI devalues the hard work that creatives may put into their field . || As much of AI development is commercially driven with profit being most important , I worry that concepts of ethical design will be left behind . || I worry that true artists , like myself , will be entirely replaced by what is easily replicated by AI ."
consider,I:10 | person:1 | AI:1 | you:1 | it:1 | novel:1 | that:1 | who:1,that:2 | impact:2 | concept:1 | thing:1 | collaboration:1 | field:1 | which:1 | form:1 | structure:1 | they:1 | specifics:1 | dynamic:1,art:1 | load:1 | skilled:1 | successful:1 | write:1,need:1,whole:1 | impact:1 | myself:1 | future:1,"I was just sending through articles from the composer and suggesting other connections that might be considered . || AI in what people would consider to be "" true art . "" || I 'm the one driving the process , but the AI model can come up with interesting things that I had n't considered . || AI has allowed me to consider new concepts and ways of doing things ."
research,I:2 | it:2 | project:1 | which:1 | what:1,thing:2 | what:2 | topic:2 | plan:1 | detail:1 | another:1 | novel:1 | cult:1 | monster:1 | area:1 | they:1 | lot:1,get:1,save:1,genre:1 | example:1 | sort:1 | own:1,"I felt positive about the experience , as using AI helped me achieve a consistent tone and saved a lot of time from having to research things and write from scratch || Before , I was spending a lot of time researching different lesson plans for each dance genre and age group . || Before AI , I dedicated more time to researching what was changing with social media , keeping up with new features , etc . || I have been able to spend more time either working on the broad strokes of a project or researching things to draw from ."
suggest,it:11 | AI:2 | model:1 | individual:1 | that:1 | detail:1,way:4 | name:2 | connection:1 | chord:1 | story:1 | thing:1 | idea:1 | colour:1 | solution:1 | anything:1 | candy:1,use:2,give:1 | change:1 | collaboration:1 | hollow:1,case:1 | name:1,"I was just sending through articles from the composer and suggesting other connections that might be considered . || It suggested various ways of describing second - hand accounts , e.g. news , social media , eye witness accounts , rumours , footage , etc . || It did also suggest I gave it a section of my text for it to re-write in a more immersive way , but as already mentioned , that 's not something I do . || It has presets the user can scale through , but can also suggest chords ."
talk,I:7 | we:6 | it:1,population:1,,,about:4 | idea:2 | block:1 | this:1 | consequence:1 | machine:1 | past:1 | Gemini:1 | they:1 | partner:1 | thing:1 | to:1,"Sometimes it 's talking through creative blocks and trying to clarify my vision . || I enjoyed getting to talk about this , thank you :) || I have heard people ( or read , on social media , forums , etc ) talking about that they just put in a high level concept and tell the ai to write a chapter , and then another , and it basically writes the whole book for them . || In addition to using it on a number of occasions as the catalyst as you say for word choices and conception descriptions , I also use it to talk though world - building consequences ."
plan,I:13 | you:1 | September:1 | they:1,design:3 | arc:2 | class:1 | thing:1 | session:1 | line:1 | that:1 | some:1 | stream:1 | activity:1,use:5 | paint:1 | submit:1,,Cricut:1 | story:1 | AI:1 | season:1 | example:1 | advance:1 | book:1 | topic:1,"Planning so many classes each week takes so much time , which I do not get paid for ( I only get paid for in - person instruction ) . || I plan on blocking off time to make lesson plans completely without the help of AI . || Having to plan the design in Cricut is so time consuming especially when adding pictures so having AI be able to do this , which I think is more than capable , would be a life saver . || A typical project includes planning the shoe design digitally , which is usually what takes longest ."
send,I:10 | engine:1 | author:1 | it:1 | someone:1 | person:1,it:7 | I:3 | they:2 | something:1 | message:1 | outline:1 | email:1 | track:1 | this:1 | side:1 | quote:1 | both:1,,,client:2 | there:2 | article:1 | name:1 | it:1 | path:1 | accident:1 | person:1 | Switzerland:1 | model:1 | day:1 | designer:1,"I was just sending through articles from the composer and suggesting other connections that might be considered . || If I 'm going to send something out with my name on it I need to be happy that everything is exactly how I want it . || In a world where so many people get their body image expectations from the internet , it 's dangerous for an AI engine to send the message that the ideal is anything and everything BUT what you are . || I use digital programs such as Wonderdraft and Procreate to create this map , then I send it to the client and go through a revision process ."
remove,Ai:1 | it:1 | I:1,it:2 | item:2 | distraction:2 | phrase:1 | flaw:1 | barrier:1 | shading:1 | object:1 | chatter:1 | point:1 | content:1 | need:1,,become:1,image:2 | background:2 | I:1 | seat:1 | sense:1 | work:1,"Often I 'll get AI to do the heavy lifting of writing the initial content , then I 'll "" tidy up "" , making edits to give a more human feel and remove any typical AI phrases or giveaways . || Then back and forth between the assistant and you to color - correct and remove flaws . || I think you were right earlier - Ai definitely removes technical barriers ( and I like tech ! ) that are frustrating / difficult and provides a way to enhance creativity so I am better able to meet my creative objectives . || I requested the AI remove the shading but it just could not seem to do it ."
lead,which:4 | this:4 | that:3 | I:3 | suggestion:1 | what:1 | response:1,I:4 | process:2 | life:1,view:1,,lot:2 | product:1 | I:1 | break:1 | session:1 | lyric:1 | with:1 | changing:1 | decrease:1 | playlist:1 | prompt:1 | thought:1,"Just getting a long list to try out over the instrumental often leads to finding a hook or at least a seed for a song idea . || There are people in book publishing making money by having AI write books for them and I think that 's both both morally wrong and leads to an inferior product . || My creative work involves designing and leading workshops for businesses in many subject areas . || I am concerned that will lead to a lot of books that are very derivative and ultimately restatements of the same things , but not truly creative ."
publish,I:3 | it:2 | that:1 | they:1 | one:1,it:2 | product:1 | royalty:1 | novel:1,,,book:1 | Amazon:1 | something:1 | date:1 | one:1 | topic:1,"There is huge public backlash in the board game community for publishers that publish a final product of a game with AI art , and I think that 's appropriate . || I have written and published a couple of nonfiction books about fibromyalgia on Amazon , and done editing and assisted with publishing on about 5 other books written by other authors . || I am working right now on the content of the first one , and once I have it finished , arranged , edited , etc , I will design the cover and publish it to Amazon and possibly other avenues , in digital and paperback versions . || But I am fairly set on the idea that creative works need to originate from the human brain , and that I really do n't think people should be able to publish and receive royalties from something that was mostly produced by AI ..."
cut,it:2 | they:1 | I:1 | this:1 | AI:1 | use:1 | time:1,time:3 | corner:2 | clip:2 | this:1 | design:1 | it:1 | need:1 | chunk:1 | bit:1 | description:1 | process:1 | artifact:1,,,time:3 | half:1 | vinyl:1 | downbeat:1 | project:1 | amount:1 | number:1 | some:1 | gallery:1 | week:1 | 3:1 | story:1,"It cuts my time in half having the tools to help generate these compositions . || If they do it in their public - facing materials , where else are they cutting corners ? || A typical project to me could be designing a logo for a T - shirt , cutting this into vinyl and then applying it with heat . || you simply say this and the AI would be able to design this in the Cricut design space , including all of the correct measurements and then determine the correct tools to use to cut the design ."
reach,I:13 | it:1 | we:1,point:2 | something:1 | goal:1 | type:1 | level:1,,,AI:8 | tool:4 | help:2 | case:2 | for:1 | process:1 | client:1 | llm:1 | particular:1 | phase:1 | side:1 | expert:1,"I find myself increasingly reaching for AI tools , especially as time goes on and its capabilities continue to improve . || Occasionally I 'll also reach for AI when I have to do a presentation and need help coming up with ideas and structuring the presentation . || I do n't reach for AI a lot , but I guess you could count Grammarly suggestions for writing . || Then I will sometimes reach out to AI for help if I get stuck during my writing with what to say about something or how to express a particular idea ."
train,I:3 | that:2 | model:2 | we:1 | who:1 | AI:1 | they:1,it:4 | AI:3 | model:3 | skill:1 | member:1 | employee:1 | chat:1 | idea:1,do:1,able:1,work:2 | book:1 | own:1 | it:1 | structure:1 | content:1 | permission:1 | script:1 | example:1 | tone:1 | thing:1 | field:1,"If AI can only do what we train it to do , it 's limited to what we know . || My concerns are with people and companies trying to abuse AI by using it as a replacement for artists and creatives like myself who 've spent years training and honing our skills . || Many artists are concerned about their images being used to train AI , essentially allowing it to create works that use their style without attribution . || I was asked to create training files that could be used at any location to train the various staff members commonly hired ( front desk staff , lab techs , vet techs , vets , etc . )"
play,I:9 | it:2 | AI:1 | participant:1 | player:1 | gamemaster:1 | character:1 | who:1,game:2 | guitar:1 | instrument:1 | part:1 | supervisor:1 | more:1 | role:1 | that:1 | couple:1 | lot:1,,,with:2 | band:1 | extent:1 | educator:1 | what:1 | off:1 | ais:1 | character:1 | plot:1 | generator:1 | generation:1 | thing:1,"I also play guitar in a band and produce my own electronic music when I can || He 's a singer / songwriter , but does n't play instruments . || I think AI will playing a huge part in creating and sustaining engagement for sure . || I 'm playing supervisor to some extent ."
set,it:4 | I:4 | novel:2 | computer:1 | sun:1 | project:1 | preference:1,conflict:1 | slew:1 | sequence:1 | tone:1 | schedule:1 | I:1 | website:1 | tempo:1,,,location:2 | storyline:1 | rio:1 | HueForge:1 | idea:1 | myself:1 | century:1 | Ontario:1 | 2010s:1 | flow:1 | Canada:1 | start:1,"It often takes a deal of work to break an LLM out of its sycophantic rhythms — which is integral when trying to set up genuine conflict in storylines . || My most recent project was to generate some clips with AI and then put those together to make a mini trailor or ' vibe reel ' for a thriller novel set in rio de janeiro , so the author could use it as a banner on the books amazon page . || A typical project is starting with a need for a token / card design - be it from client , or for general sales - and working through creating a drawing , photoshopping it to be set for HueForge , and then colour mapping in HueForge to create an STL , a 3 D object , that is then ready to be 3D printed || I have gotten close a couple of times - I just had to tweak an angle , or two actors in a scene looked perfect , but another was off , but trying to make that one fix will set off a whole slew of other problems ."
follow,I:3 | it:2 | that:1 | this:1,instruction:2 | style:1 | step:1 | question:1 | advice:1 | thread:1 | prompt:1 | pattern:1 | schedule:1,draw:1,,Redacte:2 | event:1 | draft:1,"Sure , follow up questions are usually included but they 're very simple , "" how 's this look ? "" type of stuff . || I do n't see it as any different than following a "" how to draw mountains on your map "" guide from another creator . || I will typically create a "" line "" , like a series , of tokens that follow the same aesthetical style and I have created in Gemini a variety of system prompts , like one for generating prompts of aesthetical styles , and one for generating images from those prompts that meets the typical standards and aesthetics of a token that I need . || The ability to make truly creative decisions is at this moment , still largely a human ability , and I feel like as the years go bye , and the ability to generate what are at their core standard artistic pieces - following the rules and logic that artistic theory presents - creates a scenario where unique and special talents are not going to enter the field as they see it is saturated or a waste of time ."
fill,it:2 | they:2 | AI:1 | that:1,gap:9 | purpose:1 | detail:1 | limitation:1 | niche:1 | form:1 | blank:1,,,work:2 | own:1 | skill:1 | note:1 | model:1 | space:1 | what:1 | area:1 | set:1 | weakness:1,"It fills a purpose . || They fill out the details regarding the map , and I correspond with them before , during , and after designing the map . || I 'm just using AI to fill the skill gaps I still have until I improve my craft enough to confidently fill those gaps on my own . || So , I 'm afraid that my process of hand - drawing the assets and using AI only for brainstorming and to fill in my own creative limitations will be too slow to keep up ."
figure,I:4 | company:1 | they:1 | person:1,how:7 | style:1 | shape:1 | more:1 | thing:1 | case:1 | equation:1,get:1,steal:1 | look:1 | good:1 | cost:1 | affect:1,once:1 | time:1,"I could n't figure out the exact style I wanted , and could n't replicate the images in my head onto Procreate , nor could I figure out the right shape for the mountains , so I used AI to generate about 30 jagged mountains using a blotchy ink shading so that I could see a tangible , visual representation of what was in my head so I could better replicate it with the Procreate brushes I have . || But , I figured that I 'm not stealing work , I 'm not using the images themselves as the assets , and I 'm only using the images as inspiration instead of the end product . || I 've always known how to spot something that just looks "" off "" , but recently , I 've been able to figure out what exactly looks off and how to fix it . || So , the authors usually send me a ' storyboard ' or general outline for what they want in the trailor , but I often use AI models to help me figure out more about the book if I have not read it , so for example I use ChatGPT or similar to break down the blub or a summary of the book , and use that to help me get the gist of the book ."
complete,I:3 | they:1 | we:1 | draft:1 | this:1,project:5 | illustration:1 | idea:1 | outline:1 | novel:1 | kit:1 | work:1 | job:1 | thing:1 | what:1 | program:1 | cover:1,,,deadline:1 | interface:1 | AI:1 | minute:1 | accuracy:1 | start:1 | free:1 | cost:1,"Perhaps even using it to help me complete multiple projects under tight deadlines . || I completed my base illustration by using a hand drawn image that was modified in Firefly , iterated on , then redrawn again by hand . || I do struggle with the fact that even if I copyright my work , it is in digital format which means it will be used at some point by AI to complete a project I wo n't be paid for . || Because at that point , AI has come up with a complete idea for you to just use , rather than using your own creative thought to complete the idea ."
discuss,we:8 | I:4 | example:1,project:2 | idea:2 | red:1 | aspect:1 | combination:1 | concept:1 | philosopher:1 | why:1 | theme:1 | scene:1 | worry:1 | topic:1,,create:1,coworker:1 | example:1,Then I can specifically ask the model to further discuss the colour red . || What I do use AI for is discussing some more technical aspects of writing . || It felt like discussing the project with a well educated coworker . || Essentially becoming this full editorial partner we 've been discussing .
draft,I:3,novel:5 | letter:3 | memo:1 | something:1 | cover:1 | email:1 | brief:1 | response:1 | post:1 | statement:1 | copy:1 | concept:1,,,era:1 | they:1 | AI:1 | Arcs:1 | I:1,"They are very helpful for things like drafting memos or research into e.g. different eras of fashion for costume design , which frees up more time to focus on creative work . || On a recent film I worked on , we used AI to draft a formal warning letter to someone whose behaviour was not up to standard . || There is no HR department on film or TV productions usually so those tasks fall to the production management team who are not necessarily HR experts , so it 's helpful to use AI to draft something that has the right tone . || A task like that is n't really creative , but I as the person using the tool to draft the letter would be in charge of the decisions on how it should be written , structured , etc ."
flow,juice:2 | that:2 | benefit:1 | which:1 | information:1 | rest:1 | they:1 | edit:1,,good:2 | smooth:1,,name:1 | manner:1 | I:1 | story:1,"It 's been good to get the creative thinking flowing . || Again , I 'll have an LLM drop a list of thematic words or pairings to get ideas flowing for song names . || When I felt like my creative juices just were n't flowing , the model gave me some creative ideas that really pulled me out of it . || I used AI to brainstorm , which then got my creative juices flowing , and I bounced back and forth with it until we found a perfect title ."
rely,I:7 | they:1 | person:1 | project:1 | lot:1 | documentary:1,much:1,,,it:6 | AI:5 | tool:2 | datum:1 | feeling:1 | someone:1 | process:1 | feature:1 | research:1 | input:1 | model:1 | idea:1,"Personally I 'm not sure an AI will ever be able to capture the same unique creative perspective that a human could have because it necessarily has to rely on data that already exists , which makes me think it would struggle to come up with something new . || When it comes to creating concept art , I may rely on it heavily for the atmospheric feeling of a space . || I already find that AI can write better than the majority of people I know , which is great from the perspective of looking for a collaborative storyteller to simply toss ideas back and forth with , however , I also wonder if that 's feeding into the ongoing existential crisis of loneliness , if humans are becoming less authentic , less emotionally - intelligent because they rely too heavily on these tools . || And even if you do n't like something , it 's quick and easy to adjust the initial result without having to rely on someone else ."
leave,that:3 | I:2 | which:1 | she:1 | model:1 | generation:1 | teacher:1 | concept:1,time:1 | UK:1 | room:1 | we:1 | all:1 | lot:1 | human:1 | they:1 | it:1 | space:1 | stuff:1 | acting:1,do:1 | feel:1,,behind:2 | device:1 | product:1 | humanity:1 | voice:1 | update:1 | everything:1 | species:1 | conversation:1 | folk:1 | AI:1 | own:1,"Often , I try to seed potential points forwards in my responses , things that could be investigated , dialogue that could be continued , and while it excels at the dialogue and has , over time , gotten better at picking up on context clues or symbolism , it still struggles to give the impression of "" agency "" when left to its own devices . || It 's often challenging to get AI to respond the way I envision , though , and I am often left with a final product that I have to "" settle "" for . || I spend less time searching on the internet , which leaves me more time to focus on writing and causes less of a disruption when I need to look things up . || As much of AI development is commercially driven with profit being most important , I worry that concepts of ethical design will be left behind ."
prefer,I:13 | person:1 | client:1 | lot:1,chatbot:1 | tool:1 | voice:1 | that:1 | they:1 | it:1,do:4 | use:4 | rely:1 | read:1 | jump:1,,aspect:1,"I do n't rely on it for the overall editing process , which I prefer to do myself , but I look to it as a first - check . || I prefer not to rely on AI for research or learning , because it 's still prone to inaccuracy and hallucination , but it 's sometimes convenient for rounding up general information and giving me a starting point . || I prefer chatbots with follow up questions , as without them it feels one way . || I prefer to do my own research for now , however , sometimes Google 's AI Overview has links to pages that are useful , but I usually disregard the actual content of that overview and just check the cited webpages instead ."
evolve,AI:4 | it:3 | that:2 | thing:1 | society:1 | this:1,much:1,become:1,,term:1 | point:1 | place:1 | year:1 | space:1 | piece:1,"Honestly , overall , it 's both humbling and interesting to see how much AI has evolved in terms of capabilities . || It feels much more inorganic when I need to constantly write down notes for an evolving situation . || I would hope that it would evolve to become more sophisticated over the years , involving less back and forth ( as the wedding photos ) and being able to give me "" parts "" that I can use to assemble a whole — isolate these people and make the shadows come from the other side , extract this text , generate a sunset with clouds shaped like hearts , but not too "" clean , "" then I could just focus on making it look natural . || I think it can evolve a bit and play more of a role as an educator for a new grad or someone starting out a getting a feel for the work for the first time ."
enjoy,I:15 | we:2 | viewer:1 | segment:1,process:5 | what:1 | thing:1 | this:1 | writing:1 | direction:1,edit:2 | get:1 | learn:1 | write:1 | digg:1 | do:1 | refine:1,,artist:1 | work:1,"I enjoyed getting to talk about this , thank you :) || Overall , I really enjoyed the process of generating the statement , since I love reading and writing . || And also just because I enjoy learning about things for myself , so I do n't want to give up that part of the process . || I 'm not a scientist , but I enjoy writing sci fi , so learning the science that underpins some of the usual science fiction elements is part of the job ."
miss,I:7 | it:3 | they:1 | someone:1 | what:1 | AI:1 | something:1 | that:1,that:4 | something:2 | what:2 | anything:1 | batch:1 | piece:1 | subtlety:1,,,piece:1 | article:1 | way:1,"Sometimes it 's easier to just start over but that can be frustrating when you had a great image but then the AI makes a new creation that is missing parts you liked from the first one . || Initially , I come up with elements of the design and pitches for scenes and , once something is tangibly formed in my mind or on paper , AI comes in to find the deeper connections between the two pillars of writing and design that I missed but that I would probably have noticed myself across weeks or months . || It creates a back - and - forth loop where I start to point out to the AI some of the connections it missed which helps us understand each other more . || I usually start with , ' here is what i have written ' or ' here is my idea ' , and then ask how could this be improve or am I missing something ."
paint,I:3 | it:2 | who:1,something:2 | picture:2 | design:1 | series:1 | mushroom:1 | tree:1 | cover:1 | banner:1,,,shoe:1 | one:1 | some:1 | own:1,"I paint and draw and make some installation art , including site - specific temporary installations . || Compare it to a hand - carved , hand - painted sculpture versus a premade , hand - painted sculpture versus a 3 D - printed , full - colour sculpture from a pattern . || I saw an image on the internet a couple weeks ago and it instantly inspired me to want to paint something . || I design and hand - paint custom shoes for people ."
integrate,which:1 | I:1 | we:1 | its:1,it:5 | reel:1 | image:1 | AI:1 | character:1 | multimedia:1 | photography:1,,,project:2 | TikTok:1 | field:1 | tool:1 | vehicle:1 | practice:1 | story:1 | process:1 | system:1 | AI:1 | portfolio:1 | role:1,"Right now , we 're primarily focused on Meta apps ( Instagram and Facebook ) but I do light work on Google Business and have recently begun to integrate our reels over to TikTok . || For the blog , I 'm outlining the content , writing it up , and integrating images and video . || If AI becomes more advanced and more seamlessly integrated in certain fields , I could see myself using it for administrative tasks and information tracking , like the aforementioned moon phases and estimating travel times , or things like creating timelines to help maintain continuity . || I look forward to Photoshop 's integrated AI tools improving ."
choose,I:6 | company:1 | AI:1,story:1 | we:1 | term:1 | circuit:1 | approach:1 | model:1,use:2 | ignore:1 | replace:1 | to:1 | drive:1 | go:1,form:1 | room:1,from:3 | competition:1,"I find that by having a wide list to choose from and excluding whatever does n't feel right , I can often tap into what it is I was truly trying to convey . || In corporate environments ( which is where I work ) , management is often not aware ( or chooses to ignore ) the value that the creative team brings to each project . || Stores like Michael 's are selling seasonal "" art "" prints that are made with AI , Anthropolgie 's 2024 holiday shopping bags featured AI art -- these are instances where , likely for the sake of profits , companies are choosing to use AI , rather than hire an artist . || AI saves me an enormous amount of research time and often manages to recommend interesting texts on my chosen subjects ."
imagine,I:12 | you:1,content:1 | lot:1 | it:1 | how:1 | power:1,look:1 | buy:1,matter:1 | save:1 | board:1 | consider:1 | become:1 | lead:1 | hard:1 | go:1 | ask:1,Christmas:1,"I do n't know if these have actuated in the work yet but I imagine it 's only a matter of time . || I imagine that if a human VFX designer could use AI tools to automate some parts of the process , it could save a lot of time and money in what is currently an expensive and time consuming process , allowing us to create more realistic looking and exciting visual effects quicker and for less money . || Of course , I imagine that an AI assistant , especially the modern ones , can be a better sounding board now , since many can parse images . || As it improves , I imagine I will consider off - loading more of the editing work , and incorporating more of its visual creations into my designs ."
identify,we:1 | who:1 | I:1 | someone:1,what:3 | gap:3 | hole:2 | event:1 | which:1 | voice:1 | goal:1 | thread:1 | item:1 | way:1 | weakness:1 | paint:1,,,draft:1 | they:1 | day:1 | copy:1 | work:1 | perspective:1,"I would expect it to be better at identifying plot holes , one - dimensional characters , breaking POV , etc . || I know that as AI becomes more effective in its use of information and precision in identifying what is needed , say for a presentation or training , people in my role will have less of a share in the workplace . || I would also want it to connect the dots ( or see that the dots can not be connected ) over much larger bodies of text so that it can help to identify any and all plot holes in early drafts of novels . || Once we 've identified a new event to design into , we search Pinterest for visual inspiration and start our design process ."
